"","x"
"570",7.30344913689058e-08
"571",7.22029031841325e-08
"572",7.19990027840791e-08
"573",7.45682178561864e-08
"574",7.32263600050595e-08
"575",7.64393111104105e-08
"576",7.59476544312673e-08
"577",7.64325941196024e-08
"578",7.92187112820449e-08
"579",8.07633068280857e-08
"580",7.81881964057136e-08
"581",7.98102017420097e-08
"582",8.14863602849368e-08
"583",8.34702169541642e-08
"584",7.77250859754987e-08
"585",8.79138142423719e-08
"586",8.3285424895934e-08
"587",8.44823653238105e-08
"588",8.75619795837478e-08
"589",8.79871255436094e-08
"590",9.07171897233561e-08
"591",8.77780043590029e-08
"592",9.0646860506946e-08
"593",8.97137918805818e-08
"594",9.60127563891932e-08
"595",9.3732008537308e-08
"596",9.4702557441927e-08
"597",9.85581935788476e-08
"598",9.59628672580185e-08
"599",9.61768600775897e-08
"600",1.01684937838993e-07
"601",9.43662016066352e-08
"602",9.94164338467505e-08
"603",1.04234891652551e-07
"604",1.03685615883274e-07
"605",1.07265614011119e-07
"606",1.05458053834652e-07
"607",1.07920528363096e-07
"608",1.08948750511465e-07
"609",1.04915691935875e-07
"610",1.08390123507704e-07
"611",1.13330218006918e-07
"612",1.14405654757946e-07
"613",1.09325076260059e-07
"614",1.17943249461243e-07
"615",1.15944352707778e-07
"616",1.19291218613862e-07
"617",1.21174301716278e-07
"618",1.21256277783469e-07
"619",1.20801908270086e-07
"620",1.21634720861551e-07
"621",1.15908704867008e-07
"622",1.19436785222513e-07
"623",1.27936393817816e-07
"624",1.33935733006048e-07
"625",1.36761222822804e-07
"626",1.33873519216355e-07
"627",1.35758326907215e-07
"628",1.39535586352931e-07
"629",1.41029252423137e-07
"630",1.34419980683351e-07
"631",1.49679300487533e-07
"632",1.55057133603321e-07
"633",1.45182686743794e-07
"634",1.44452135788225e-07
"635",1.42454804813045e-07
"636",1.44241947405001e-07
"637",1.52866301260133e-07
"638",1.42040191954285e-07
"639",1.56176936808012e-07
"640",1.60116764421345e-07
"641",1.57386405669358e-07
"642",1.67656889046133e-07
"643",1.58991073403275e-07
"644",1.62924196015096e-07
"645",1.67646015992879e-07
"646",1.70832215709806e-07
"647",1.75043316788724e-07
"648",1.77863464032601e-07
"649",1.81716801482731e-07
"650",1.81367912846497e-07
"651",1.86503192975073e-07
"652",1.79682646909682e-07
"653",1.91961846080898e-07
"654",1.89698127707169e-07
"655",1.80656530980124e-07
"656",1.87684730452733e-07
"657",1.98047626443284e-07
"658",2.044627606056e-07
"659",1.9684991194872e-07
"660",2.06095440413634e-07
"661",2.0563192812308e-07
"662",2.0775212879321e-07
"663",2.12627041002809e-07
"664",2.05992125145094e-07
"665",2.14934049958561e-07
"666",2.13306682766411e-07
"667",2.1398912111327e-07
"668",2.21349713527874e-07
"669",2.2803148148216e-07
"670",2.3780705266841e-07
"671",2.16635743161094e-07
"672",2.2419585824694e-07
"673",2.21536806719612e-07
"674",2.32802359330116e-07
"675",2.33826982656597e-07
"676",2.49799009169476e-07
"677",2.38820919509066e-07
"678",2.52270871872583e-07
"679",2.52795389102083e-07
"680",2.58585070567302e-07
"681",2.75117640658827e-07
"682",2.69247024839694e-07
"683",2.646566717142e-07
"684",2.73673009513677e-07
"685",2.78130654407702e-07
"686",2.79870935764918e-07
"687",2.87891526246136e-07
"688",2.75658881164456e-07
"689",2.81908126835293e-07
"690",2.93735034495134e-07
"691",2.94345454898402e-07
"692",3.044185040372e-07
"693",2.85406638852096e-07
"694",3.07626500978106e-07
"695",2.92687322407921e-07
